Kecamatan,Jumlah Penduduk Tahun 2019,Jumlah Rumah Tangga Miskin Tahun 2014
Karang Pilang,75723,1740
Wonocolo,83703,1645
Rungkut,117604,3346
Wonokromo,167576,5866
Tegalsari,106595,4980
Sawahan,213660,8094
Genteng,61928,2910
Gubeng,141716,2861
Sukolilo,114323,3597
Tambak Sari,234484,9884
Simokerto,102723,7973
Pabean Cantian,84890,6434
Bubutan,106355,4500
Tandes,94824,2174
Krembangan,124378,5135
Semampir,202143,15462
Kenjeran,172539,3623
Lakar Santri,59913,1871
Benowo,66191,1088
Wiyung,72698,1466
Dukuh Pakis,62479,2011
Gayungan,46955,865
Jambangan,52383,1411
Tenggilis Mejoyo,59537,859
Gunung Anyar,58774,1590
Mulyorejo,89463,1971
Sukomanunggal,105917,2170
Asemrowo,48781,1189
Bulak,45263,1053
Pakal,56560,732
Sambi Kerep,64948,1617
